ticker,start_time,mcap,24hVol_20260128,history_days
BTCUSDT,2019-09-08,,12571425111.94,2334.0
ETHUSDT,2019-11-27,,10315360630.5,2254.0
SOLUSDT,2020-09-14,,2189642359.3735,1962.0
XAGUSDT,2026-01-07,,1937987654.8861,21.0
XAUUSDT,2025-12-11,,1725964152.19,48.0
HYPEUSDT,2025-05-30,,1343846571.54008,243.0
RIVERUSDT,2025-10-17,,1050566831.2245,103.0
XRPUSDT,2020-01-06,,888617242.8263,2214.0
PAXGUSDT,2025-03-27,,739132016.0292,307.0
WLDUSDT,2023-07-24,,661584359.4995,919.0
SOMIUSDT,2025-08-25,,544899070.9378,156.0
DOGEUSDT,2020-07-10,,505452386.39191,2028.0
ZECUSDT,2020-02-05,,503139435.13,2184.0
JTOUSDT,2023-12-08,,409460107.4136,782.0
PIPPINUSDT,2025-01-24,,371517548.47766,369.0
BNBUSDT,2020-02-10,,331749222.637,2179.0
1000PEPEUSDT,2023-05-05,,316022944.6080432,999.0
AXSUSDT,2020-11-20,,315776890.14,1895.0
PUMPUSDT,2025-07-10,,312722322.976821,202.0
QUSDT,2025-09-02,,256511000.448504,148.0
PLAYUSDT,2025-07-31,,250076773.43087,181.0
SUIUSDT,2023-05-03,,240216690.08545,1001.0
ADAUSDT,2020-01-31,,217560054.0153,2189.0
ASTERUSDT,2025-09-19,,184275727.6251,131.0
LINKUSDT,2020-01-17,,163075665.251,2203.0
FOGOUSDT,2026-01-10,,153159668.81149,18.0
XPLUSDT,2025-08-22,,135568236.8861,159.0
DASHUSDT,2020-02-04,,134680231.18,2185.0
AVAXUSDT,2020-09-23,,132906403.702,1953.0
ENAUSDT,2024-04-02,,132498369.3131,666.0
KITEUSDT,2025-10-29,,125483271.60949,91.0
BCHUSDT,2019-12-19,,121888489.63,2232.0
STABLEUSDT,2025-11-06,,120218522.364682,83.0
LTCUSDT,2020-01-09,,116689176.89,2211.0
ENSOUSDT,2025-10-14,,115686932.8157,106.0
FRAXUSDT,2026-01-15,,97510771.7421,13.0
FARTCOINUSDT,2024-12-20,,93937136.56139,404.0
AAVEUSDT,2020-10-16,,93332988.928,1930.0
TAOUSDT,2024-04-11,,92305209.69,657.0
VIRTUALUSDT,2024-12-10,,89204693.6147,414.0
FILUSDT,2020-10-16,,88845427.559,1930.0
NOMUSDT,2025-10-01,,87615500.878862,119.0
LITUSDT,2025-12-23,,86177347.3595,36.0
ACUUSDT,2026-01-21,,85707255.83563,7.0
PENGUUSDT,2024-12-17,,84732259.606341,407.0
WIFUSDT,2024-01-18,,77689977.2636,741.0
CRVUSDT,2020-09-01,,77018882.993,1975.0
IPUSDT,2025-02-13,,72666019.0488,349.0
ROSEUSDT,2021-12-31,,72641894.59017,1489.0
AVNTUSDT,2025-09-09,,71865471.64744,141.0
DOTUSDT,2020-08-22,,71410649.167,1985.0
NEARUSDT,2020-10-15,,66009809.307,1931.0
XMRUSDT,2020-02-03,,64836979.94,2186.0
JUPUSDT,2024-01-31,,60502460.0159,728.0
ARBUSDT,2023-03-23,,60063288.40077,1042.0
UNIUSDT,2020-09-18,,59824742.278,1958.0
WLFIUSDT,2025-08-23,,58553956.097,158.0
OPUSDT,2022-06-01,,57246089.7028,1337.0
RESOLVUSDT,2025-06-10,,56763845.76806,232.0
ZROUSDT,2024-06-20,,55895796.34833,587.0
SAHARAUSDT,2025-06-26,,54900974.10251,216.0
1000SHIBUSDT,2021-05-10,,53403890.708532,1724.0
BTRUSDT,2025-08-27,,51778612.00456,154.0
CLANKERUSDT,2025-11-12,,51208684.8565,77.0
TRXUSDT,2020-01-15,,51183704.27408,2205.0
AXLUSDT,2024-03-01,,50289078.11562,698.0
AIAUSDT,2026-01-20,,49242361.84232,8.0
SPACEUSDT,2026-01-23,,49069978.988543,5.0
HANAUSDT,2025-09-26,,47180764.73822,124.0
RENDERUSDT,2024-07-26,,46966061.4718,551.0
TRUMPUSDT,2025-01-18,,46846928.71328,375.0
PTBUSDT,2025-09-03,,46693594.592353,147.0
0GUSDT,2025-09-17,,44421531.9713,133.0
MONUSDT,2025-10-10,,44180274.00052,110.0
APTUSDT,2022-10-19,,43825899.82972,1197.0
SENTUSDT,2025-11-14,,43192526.46079,75.0
DUSKUSDT,2022-01-07,,43169110.59361,1482.0
PYTHUSDT,2023-11-22,,39811471.54978,798.0
ICPUSDT,2022-09-27,,39231823.848,1219.0
FETUSDT,2023-01-17,,39173791.8623,1107.0
ZAMAUSDT,2026-01-09,,37789520.8389,19.0
CLOUSDT,2025-10-14,,37554088.0064,106.0
HBARUSDT,2021-03-17,,37486593.59477,1778.0
ONDOUSDT,2024-01-20,,37127993.15212,739.0
MERLUSDT,2025-05-29,,37072749.71029,244.0
SANDUSDT,2021-01-25,,36695008.34814,1829.0
1000BONKUSDT,2023-11-22,,36316139.553086,798.0
CCUSDT,2025-10-31,,35688805.73977,89.0
ZENUSDT,2020-11-24,,35665957.81,1891.0
