open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-01-22 08:25:00,2.493,2.504,2.493,2.497,129356.8,2026-01-22 08:29:59.999,323150.0529000,1775,72988.7,182328.5503000,0
2026-01-22 08:30:00,2.497,2.506,2.488,2.488,138124.8,2026-01-22 08:34:59.999,344959.0340000,2251,66200.3,165387.2285000,0
2026-01-22 08:35:00,2.487,2.498,2.464,2.475,619476.8,2026-01-22 08:39:59.999,1534441.4651000,5551,225583.7,558869.4405000,0
2026-01-22 08:40:00,2.475,2.481,2.463,2.467,214235.7,2026-01-22 08:44:59.999,529567.2941000,3009,88525.3,218877.4305000,0
2026-01-22 08:45:00,2.467,2.483,2.462,2.476,217864.7,2026-01-22 08:49:59.999,539022.2113000,2206,129163.0,319678.4417000,0
2026-01-22 08:50:00,2.476,2.498,2.476,2.491,301355.9,2026-01-22 08:54:59.999,749842.3765000,3288,191538.7,476581.5701000,0
2026-01-22 08:55:00,2.49,2.495,2.485,2.492,97931.8,2026-01-22 08:59:59.999,243847.7567000,1440,40441.6,100722.2295000,0
2026-01-22 09:00:00,2.491,2.498,2.485,2.495,229690.6,2026-01-22 09:04:59.999,572471.8240000,2562,120165.3,299609.1760000,0
2026-01-22 09:05:00,2.495,2.514,2.49,2.511,174453.1,2026-01-22 09:09:59.999,436335.5729000,2531,121414.8,303819.3361000,0
2026-01-22 09:10:00,2.51,2.516,2.503,2.506,272158.3,2026-01-22 09:14:59.999,683411.0729000,3269,161746.6,406289.4421000,0
2026-01-22 09:15:00,2.506,2.509,2.484,2.484,201287.7,2026-01-22 09:19:59.999,502666.7248000,2241,58962.5,147387.4664000,0
2026-01-22 09:20:00,2.483,2.494,2.478,2.492,161708.1,2026-01-22 09:24:59.999,402043.2688000,1916,107966.5,268465.7543000,0
2026-01-22 09:25:00,2.493,2.509,2.486,2.504,140979.9,2026-01-22 09:29:59.999,352115.0381000,1884,62525.0,156142.1606000,0
2026-01-22 09:30:00,2.504,2.529,2.504,2.52,219651.6,2026-01-22 09:34:59.999,552820.6990000,2969,135017.9,339843.4560000,0
2026-01-22 09:35:00,2.52,2.526,2.515,2.521,117560.5,2026-01-22 09:39:59.999,296256.9676000,2136,60153.6,151622.9584000,0
2026-01-22 09:40:00,2.521,2.522,2.51,2.516,120813.4,2026-01-22 09:44:59.999,303861.9522000,1747,43800.1,110240.8192000,0
2026-01-22 09:45:00,2.516,2.517,2.495,2.501,118277.6,2026-01-22 09:49:59.999,296442.9370000,1754,37716.8,94524.8911000,0
2026-01-22 09:50:00,2.501,2.502,2.487,2.489,107026.6,2026-01-22 09:54:59.999,266955.4070000,1343,39128.3,97572.5821000,0
2026-01-22 09:55:00,2.49,2.497,2.486,2.497,119507.8,2026-01-22 09:59:59.999,297620.9295000,1260,68674.9,171047.0408000,0
2026-01-22 10:00:00,2.496,2.501,2.493,2.498,54041.4,2026-01-22 10:04:59.999,134965.2499000,1238,22616.5,56490.5086000,0
