open_time,open,high,low,close,volume
2025-12-13 16:00:00,0.685,0.69,0.685,0.69,58698.8
2025-12-13 17:00:00,0.69,0.691,0.687,0.688,44624.86
2025-12-13 18:00:00,0.688,0.688,0.685,0.686,45277.92
2025-12-13 19:00:00,0.686,0.687,0.685,0.686,20504.63
2025-12-13 20:00:00,0.686,0.686,0.682,0.683,63531.84
2025-12-13 21:00:00,0.683,0.685,0.682,0.685,48066.73
2025-12-13 22:00:00,0.685,0.686,0.681,0.685,45203.21
2025-12-13 23:00:00,0.684,0.689,0.683,0.687,43075.4
2025-12-14 00:00:00,0.687,0.687,0.68,0.684,57582.46
2025-12-14 01:00:00,0.683,0.684,0.681,0.682,37026.82
2025-12-14 02:00:00,0.681,0.681,0.67,0.675,136057.92
2025-12-14 03:00:00,0.674,0.674,0.664,0.668,135333.25
2025-12-14 04:00:00,0.667,0.667,0.662,0.666,152223.69
2025-12-14 05:00:00,0.666,0.668,0.662,0.665,56625.66
2025-12-14 06:00:00,0.666,0.667,0.662,0.666,70574.64
2025-12-14 07:00:00,0.666,0.669,0.665,0.665,67354.63
2025-12-14 08:00:00,0.665,0.669,0.662,0.663,41196.2
2025-12-14 09:00:00,0.663,0.663,0.656,0.659,99280.91
2025-12-14 10:00:00,0.66,0.66,0.654,0.658,56254.66
2025-12-14 11:00:00,0.658,0.658,0.649,0.653,122064.56
2025-12-14 12:00:00,0.653,0.658,0.651,0.657,40571.25
2025-12-14 13:00:00,0.657,0.657,0.652,0.655,58791.31
2025-12-14 14:00:00,0.656,0.658,0.648,0.65,57500.09
2025-12-14 15:00:00,0.65,0.653,0.648,0.653,48714.63
2025-12-14 16:00:00,0.652,0.658,0.651,0.657,59801.04
2025-12-14 17:00:00,0.657,0.657,0.649,0.651,46157.07
2025-12-14 18:00:00,0.65,0.659,0.65,0.659,29863.26
2025-12-14 19:00:00,0.659,0.668,0.657,0.667,129643.98
2025-12-14 20:00:00,0.667,0.674,0.663,0.672,164272.91
2025-12-14 21:00:00,0.671,0.674,0.654,0.658,220925.35
2025-12-14 22:00:00,0.658,0.661,0.649,0.653,87024.11
2025-12-14 23:00:00,0.654,0.656,0.644,0.653,197704.68
2025-12-15 00:00:00,0.652,0.655,0.643,0.651,122930.37
2025-12-15 01:00:00,0.651,0.667,0.651,0.667,84218.5
2025-12-15 02:00:00,0.666,0.67,0.658,0.658,107750.56
2025-12-15 03:00:00,0.658,0.66,0.655,0.66,95333.39
2025-12-15 04:00:00,0.659,0.662,0.658,0.661,63405.88
2025-12-15 05:00:00,0.66,0.675,0.66,0.674,83671.39
2025-12-15 06:00:00,0.673,0.676,0.666,0.672,113957.18
2025-12-15 07:00:00,0.672,0.673,0.664,0.672,125738.76
2025-12-15 08:00:00,0.672,0.673,0.665,0.672,77756.5
2025-12-15 09:00:00,0.672,0.679,0.669,0.673,198022.52
2025-12-15 10:00:00,0.672,0.684,0.666,0.674,234454.27
2025-12-15 11:00:00,0.674,0.686,0.672,0.68,346099.5
2025-12-15 12:00:00,0.68,0.681,0.671,0.679,250726.32
2025-12-15 13:00:00,0.679,0.68,0.671,0.673,93302.05
2025-12-15 14:00:00,0.672,0.677,0.655,0.659,230000.99
2025-12-15 15:00:00,0.658,0.661,0.642,0.648,417858.32
2025-12-15 16:00:00,0.648,0.66,0.644,0.65,285736.19
2025-12-15 17:00:00,0.649,0.666,0.645,0.66,210827.55
2025-12-15 18:00:00,0.659,0.683,0.657,0.679,416992.56
2025-12-15 19:00:00,0.679,0.69,0.67,0.683,325907.72
2025-12-15 20:00:00,0.68,0.689,0.676,0.679,348092.59
2025-12-15 21:00:00,0.679,0.681,0.674,0.68,255117.09
